constraint_name,table_name,column_name,foreign_table,foreign_column
fact_environmental_conditions_datetime_id_fkey,fact_environmental_conditions,datetime_id,dim_datetime,datetime_id
fact_environmental_conditions_env_id_fkey,fact_environmental_conditions,env_id,dim_environmental_factors,env_id
